1012,Danny Morton,932 3Rd Street North 20209,8393091381,0
1015,Jane Jones,965 Cypress Court 75516,394037785,0
1018,Bessie Austin,573 Cedar Street 72506,7579475082,0
1020,Laura Thomas,960 Cooper Street 44635,1805057283,0
1021,John Silva,569 Ridge Street 77549,6889046686,0
1022,Donald Moran,249 Glenwood Avenue 62200,9787323443,0
1025,Harry Day,340 Cobblestone Court 62832,3228241357,0
1026,Paul Chan,677 College Avenue 57849,9933161837,0
1028,Bonnie Hayes,288 Forest Drive 91599,9555276493,0
1031,Annette Mayer,596 Route 4 11246,4552809232,0
1033,Francis Mclaughlin,573 George Street 56055,8740108860,0
1036,Lisa Briggs,290 Durham Road 95852,6414581316,0
1037,Betty Mckenzie,943 Ridge Street 77549,3345100858,0
1040,Jeff Gill,237 State Street East 55515,5331165658,0
1043,Rebecca Torres,826 Adams Avenue 86288,7026490420,0
1044,Jo Pugh,67 Park Drive 51668,7390040699,0
1045,Pamela Gonzales,623 Dogwood Lane 84810,3132173155,0
1047,Claudia Lee,240 Ridge Road 35760,7336105279,0
1049,Julie Wright,396 Woodland Drive 16263,4030542035,0
1051,Terry Mcfarland,403 Sheffield Drive 39585,3210545190,0
1052,Todd Garcia,44 Schoolhouse Lane 50962,438463324,0
1054,Agnes Carter,596 Spring Street 38677,427634138,0
1056,John Williams,329 Monroe Drive 66361,6877008932,0
1058,Joseph Bridges,687 Mulberry Lane 37724,601399924,0
1060,Eric Flores,861 Walnut Street 36565,9458206221,0
1062,Tracy Gray,465 Orchard Avenue 63354,999195391,0
1063,Eleanor Cantrell,632 Church Street South 61090,5150169599,0
1065,Anna Johnson,888 8Th Avenue 73362,6904743502,0
1068,Charlene Mcmahon,912 Buttonwood Drive 58248,2102634671,0
1070,Amy Cortez,511 2Nd Street 54120,9154096319,0
1071,Michael Smith,264 Prospect Avenue 31272,7138665257,0
1073,Willie Johns,858 Orange Street 91659,8410536638,0
1074,Robert Glenn,554 Church Street North 50441,7597779270,0
1075,Judy Smith,507 Madison Court 74119,373839784,0
1077,Janet Martinez,940 Sycamore Street 63050,9429627926,0
1079,Jason Burns,52 New Street 11237,6476247326,0
1082,Toni Finch,575 Dogwood Drive 76325,1285914328,0
1083,Robert Perry,154 Franklin Avenue 24232,5796036878,0
1084,Shawn Richards,400 Linden Street 40902,5330730153,0
1085,Bessie Rasmussen,644 Madison Avenue 85675,7645476472,0
1086,Felix Justice,229 12Th Street East 61518,5913055725,0
1088,Maria Jackson,506 Woodland Road 80704,6878803510,0
1091,Elizabeth Harris,294 12Th Street 31155,7740614868,0
1092,Tamara Taylor,77 9Th Street West 64220,5483240110,0
1095,Joseph Ingram,770 Henry Street 29744,4531016415,0
1098,Kenneth Graham,613 Oak Street 26671,2747339555,0
1101,Tamara King,140 Railroad Street 73821,7837677012,0
1103,Alberto Hall,60 Windsor Drive 39356,7018688164,0
1104,Valerie Murphy,338 Grove Street 73877,1163718852,0
1106,Maria Chang,689 Buttonwood Drive 58248,2590113946,0
1107,Carol Garcia,776 Amherst Street 21281,4448972523,0
1109,Angela Leon,409 Park Drive 51668,3198108865,0
1111,Tracy Jones,658 Willow Avenue 58740,4196191888,0
1112,Maria Zamora,759 Walnut Avenue 16348,2584526534,0
1113,Carol Brown,467 Cleveland Avenue 61287,4603282301,0
